LÔ-MÁ-JĪ,HÀN-JĪ,IA̍H-SÒ͘
Gu5-lin,牛乳,153
Tai7-ting-hong5,大丁黃,154
Tua7-phann3-tshiu7,大冇樹,154
Tua7-hioh8-phann3,大葉冇,154
Ti-bu2-lin,猪母乳,154
Ti-bu2-lin-ku7,猪母乳舅,154
Se-tsi2-a2,樨枳仔,154
Tsi2-poo,枳枯,154
Tua7-hioh8-kau2-ting5-tshe,大葉九重吹,154
O3-gio5-tsi2,愛玉子,155
Hong-put-tong7,風不動,155
Oo-tshing5,烏榕,155
Tshing5-tshiu7,榕樹,155
Tshing5,榕,155
Tsiann3-tshing5,正榕,155
Kau2-ting5-tshe,九重吹,155
Siap-hioh8,澁葉,155
Sue3-hioh8-siap-hioh8,細葉澁葉,155
Siap-a2-tshiu7,澁仔樹,155
Peh8-sua,白沙,155
Suann-ti-ke5,山猪枷,155
Peh8-tshing5,白榕,156
Peh8-bah-tshing5,白肉榕,156
Tshiah-iong5,赤榕,156
Suann-tshing5,山榕,156
Tsiau2-tshing5,鳥榕,156
Tsiau2-sai2-tshing5,鳥屎榕,156
Suann-khoo2-kue,山苦瓜,156
Khoo2-kue-tshau2,苦瓜草,156
Niu5-a2-hioh8-tshiu7,蠶仔葉樹,156
Sng-tsai5-a2,桑材仔,156
Niu5-a2-tshiu7,蠶仔樹,156
Song-tshiu7,桑樹,156
Iam5-sng-a2,鹽桑仔,156
Ng5-kim-kui3,黃金桂,157
Tai7-ting-hong5,大丁黃,157
Tshi3-keh-a2,刺格仔,157
Suann-tsui2-liu2,山水柳,157
Tshoo-khng-kak,粗糠壳,157
He5-kong-tshiu,蝦公鬚,157
Thu2-mua5,苧麻,157
Tue7-a2,苧仔,157
Kim-siah8-liu5,金石榴,158
Tsiunn2-tshau2-sim-tshau2,蔣草心草,158
Ka7-lang5-kau2,咬人狗,159
Tsioh8-tsu5,石薯,160
Tsioh8-tsu-a2,石珠仔,160
Tsui2-kue-iu5,水鷄油,162
Tsioh8-tsu-a2,石珠仔,163
Tshi3-tshau2,刺草,163
Ka7-lang5-niau,咬人猫,163
Suann-tsui2-liu2,山水柳,163
Suann-ging5-ging2,山龍眼,163
Suann-kam-a2,山柑仔,164
Suann-iu7-a2,山柚仔,164
Siong5-san,常山,164
Tuann5-hiunn,檀香,164
Tshinn-bak8-hiunn,青木香,166
Ng5-tin5,黃藤,166
Bak8-hiunn,木香,166
Tin5-tsu5,藤薯,166
Se3-sin,細辛,167
Kio5-beh8,蕎麥,168
Tinn-beh8,甜麥,168
Gia5-kang-tshau2,蜈蚣草、鵞江草,168
Peh8-khoo2-thiau7,白苦柱,168
Ang5-kut-tshin3-png7-tin5,紅骨凊飯藤,168
Tshin3-png7-tin5,凊飯藤,168
Tshuan-tshit,川七,168
Lue5-piah-tshi3,犁壁刺,170
Khoo2-tiau-a2-tshau2,苦柱仔草,170
Sann-kak-iam5-sng,三角鹽酸,170
Tsui2-ang5-kut-tsua5,水紅骨蛇,170
Tsui2-lue5-piah-tshau2,水犁壁草,170
Ho5-siu2-oo,何首烏,171
Peh8-kue-sai2-tin5,白鷄屎藤,171
Tshuan-tshit,川七,171
Ang5-kut-tsua5,紅骨蛇,171
Tshuan-tshit,川七,171
Khak-tshai3,殼菜,171
Ka-buah8-tshai3,茭€菜、茄茉菜,172
Tshau3-tshuan-kiong,臭川芎,172
Tshau3-hing7,臭杏,172
Sau3-tshiu2-tshau2,掃箒草,172
Pe-ling5-tshai3,菠薐菜、飛稜菜、飛龍菜,172
Tshiah-kun-tshai3,赤根菜,172
Tuah-phinn7-tshau2,掇鼻草,173
Tshuah-phinn7-tshau2,擦鼻草,173
Giu5-tshik,牛膝,173
Kue-kut-hong5,鷄骨癀,173
Mng5-hue7-bak,磅蟹目,173
To3-ke3-tshau2,到繼草,173
Ang5-kut-tsua5,紅骨蛇,173
Giu5-tshik,牛膝,173
Tsat-tsat-hue,節節花,173
Tshan5-pinn-tshau2,田邊草,173
Ang5-tshan5-oo-tshau2,紅田烏草,173
Tsa2-lian5-tshau2,早蓮草,173
Ang5-hue-bit8-tshai3,紅花蜜菜,173
Ang5-tshan5-oo,紅田烏,173
Tshan5-oo-tshau2,田烏草,173
Ang5-kut-tshuah-phinn7-tshau2,紅骨擦鼻草,173
Suann-hing7-tshai3,山莕菜,174
Hing7-tshai3,莕菜、荇菜,174
Tshi3-hing7,刺莧,174
Tshi3-soo,刺蒐,174
Tshi-siunn,青箱,174
Kue-ke3-hue,鷄冠花,174
Peh8-kui3-kiok-hue,白桂菊花,174
Peh8-kue-ke3,白鷄冠,174
Kue-ke3-hue,鷄冠花,174
Kue-ke3,鷄冠,174
Oo-hi5-hue,烏魚花,174
Inn5-a2-hue,圓仔花,175
Ku-hue,龜花,175
Soo3-hiunn,素香,176
Ian-tsi-hue,胭脂花,176
Ki2-thok,齒托,176
Tsui2-tang-kue,水冬瓜,176
Tsui2-tang-kue,水冬瓜,176
Siong-liok8,商陸,176
Hoo2-ka7-hong5,虎咬癀,176
Thih-kau-tshau2,鐵鉤草,177
Tsu-tsu2-tshau2,朱子草,177
Ti-bu2-lin,猪母乳,177
Ti-bu2-tshau2,猪母草,177
Goo7-si5-tshau2,午時草,177
Tshui3-tshau2,嘴草,177
Sim-a2-hioh8,參仔葉,177
Tsim5-kong2-tshai3,蟳管菜,178
Tsim5-tshai3,蟳菜,178
Tsian2-jiong5-hue,剪絨花,179
Eng-beh8,罌麥,179
Ho-lin-tau7-tshau2,荷蘭豆草、河乳豆草,179
Tshinn-hong-tshau2,菁方草,179
Kue-tng5-tshau2,鷄腸草,180
Lian5,蓮,181
Lian5-hue,蓮花,181
tsui2-lian5-hue,水蓮花,181
Ui-ling5-sian,威靈仙,182
Ui5-hoo7-sian,為候仙,182
Tshng3-phinn7-ling5,串鼻龍,183
Ui-ling5-sian,威靈仙,183
Tua7-pun2-suann-khun5-tshai3,大本山芹菜,185
Pih-a2-tshau2,鼈仔草,185
Thong-tsho2,蓪草,185
Tsioh8-geh8,石月,186
Ng5-peh,黃柏,186
Pueh-kak-lian5,八角蓮,187
Thih-gu5-jip8-tsioh8,鐵牛入石,187
Tshinn-bak8-hiunn,青木香,187
Peh8-suann-han-tsu5,白山蕃薯,187
Hong5-ki2,防巳,187
Lue5-piah-tin5,犁壁藤,188
Lue5-piah-tshau2,犁壁草,188
To2-tue7-kiong2,倒地拱,188
Tua7-hue5-hun5,大回魂,188
Pueh-kak,八角,188
Uann2-ling5-tshiu7,碗龍樹,188
Pueh-kak,八角,188
Pueh-kak-a2,八角仔,188
Lam5-ngoo2-bi7-tsi2,南五味子,189
Ang5-kut-tsua5,紅骨蛇,189
Ia7-hap8,夜合,189
Giok8-lan5,玉蘭,189
Oo-sim-tsioh8,烏心石,189
Ham5-siau3,含笑,189
Giu5-sim-lai5,牛心梨,190
Phang-lai5,香梨,190
Sik-kia-ko2,釋迦果,190
Hut8-thau5-ko2,佛頭果,190
